ticket,time,date,hour,symbol,dir,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
675,,,,,,,,,,,76269.89,SL,sl,,,,,,,,,,,2026-05-18 16:26:22,,,,,,,,,True,False,,,1.35,1.35,0.0,,,be,True,0,False,False,False,False,
676,,,,,,,,,,,76531.91,SL,sl,,,,,,,,,,,2026-05-18 17:04:05,,,,,,,,,True,False,,,2.18,2.18,0.0,,,be,True,0,False,False,False,False,
680,,,,,,,,,,,76537.22,SL,sl,,,,,,,,,,,2026-05-18 19:01:36,,,,,,,,,True,False,,,2.14,2.14,0.0,,,be,True,0,False,False,False,False,
681,,,,,,,,,,,76531.95,SL,sl,,,,,,,,,,,2026-05-18 19:01:36,,,,,,,,,True,False,,,2.58,2.58,0.0,,,be,True,0,False,False,False,False,
684,,,,,,,,,,,76732.67,SL,sl,,,,,,,,,,,2026-05-18 19:02:49,,,,,,,,,True,False,,,0.5,0.5,0.0,,,,False,0,False,False,False,False,
685,,,,,,,,,,,76850.29,SL,sl,,,,,,,,,,,2026-05-18 19:03:35,,,,,,,,,True,False,,,0.98,0.98,0.0,,,,False,0,False,False,False,False,
688,,,,,,,,,,,77081.75,MARKET_CLOSE,market_close,,,,,,,,,,,2026-05-19 01:00:01,,,,,,,,,True,False,,,2.65,2.65,0.0,,,be,True,0,False,False,False,False,
690,,,,,,,,,,,76703.4,SL,sl,,,,,,,,,,,2026-05-19 01:26:05,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
692,,,,,,,,,,,76791.09,SL,sl,,,,,,,,,,,2026-05-19 05:30:55,,,,,,,,,True,False,,,1.95,1.95,0.0,,,be,True,0,False,False,False,False,
694,,,,,,,,,,,77173.61,SL,sl,,,,,,,,,,,2026-05-19 08:42:08,,,,,,,,,True,False,,,2.05,2.05,0.0,,,be,True,0,False,False,False,False,
696,,,,,,,,,,,76790.28,MARKET_CLOSE,market_close,,,,,,,,,,,2026-05-19 09:50:12,,,,,,,,,True,False,,,5.55,5.55,5.55,,,be,True,0,False,False,False,False,
697,,,,,,,,,,,76849.82,SL,sl,,,,,,,,,,,2026-05-19 09:16:33,,,,,,,,,True,False,,,0.09,0.09,0.0,,,,False,0,False,False,False,False,
700,,,,,,,,,,,76883.72,SL,sl,,,,,,,,,,,2026-05-19 17:03:56,,,,,,,,,True,False,,,0.69,0.69,0.0,,,,False,0,False,False,False,False,
702,,,,,,,,,,,76918.65,SL,sl,,,,,,,,,,,2026-05-20 05:09:03,,,,,,,,,True,False,,,0.93,0.93,0.0,,,,False,0,False,False,False,False,
703,,,,,,,,,,,76918.65,SL,sl,,,,,,,,,,,2026-05-20 05:09:03,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
710,,,,,,,,,,,77568.95,MARKET_CLOSE,market_close,,,,,,,,,,,2026-05-20 20:40:02,,,,,,,,,True,False,,,2.87,2.87,0.0,,,be,True,0,False,False,False,False,
711,,,,,,,,,,,77614.66,MARKET_CLOSE,market_close,,,,,,,,,,,2026-05-20 20:45:00,,,,,,,,,True,False,,,3.0,3.0,0.0,,,be,True,0,False,False,False,False,
4,2026-03-24 11:39:02,2026-03-24,11,BTCUSDm,sell,0.04,0.9,71227.23,71421.41,71119.41,71115.61,TP,tp,194.18000000000757,0.5748274796580028,14.067,0,,1,0.268,-0.825,71260.46,71241.23,2026-03-24 11:53:06,entry_engine,8,5.0,4,1.0,0,0,True,True,False,1.49,0.072,0.55,0.55,0.0,,,,False,0,False,False,False,False,4.464799999999814
8,2026-03-24 13:33:09,2026-03-24,13,BTCUSDm,sell,0.02,0.78,70737.04,71013.26,70588.6,70588.04,TP,tp,276.22000000000116,0.5394250959380181,5.55,0,,0,0.281,-0.456,70778.84,70751.04,2026-03-24 13:38:42,entry_engine,4,3.81,4,1.0,0,1,True,True,False,1.74,0.051,0.52,0.52,0.0,,,,False,0,False,False,False,False,2.98
10,2026-03-26 14:20:00,2026-03-26,14,BTCUSDm,sell,0.03,1.05,69424.58,69680.53,69318.52,69681.97,SL,sl,255.9499999999971,-1.0056260988474404,7.183,0,,0,0.255,-1.678,69456.64,69438.58,2026-03-26 14:27:11,entry_engine,23,4.09,4,1.0,0,1,False,True,False,1.32,0.055,0.16,0.16,0.0,,,,False,0,False,False,False,False,-7.7216999999999825
12,2026-03-26 14:50:14,2026-03-26,14,BTCUSDm,sell,0.03,1.05,69430.54,69695.43,69324.48,69323.99,TP,tp,264.8899999999994,0.40224244025817735,3.65,0,,14,0.251,-1.762,69462.28,69444.54,2026-03-26 14:53:53,entry_engine,29,4.09,4,1.0,0,1,False,True,False,1.28,0.053,0.39,0.39,0.0,,,,False,0,False,False,False,False,3.196499999999651
16,2026-03-27 08:05:14,2026-03-27,8,BTCUSDm,buy,0.03,0.61,68532.11,68377.53,,68371.68,SL,sl,154.58000000000175,-1.0378444818217476,11.367,0,,14,0.285,-1.628,68497.54,68518.11,2026-03-27 08:16:36,entry_engine,12,5.0,5,1.0,0,0,False,True,False,1.23,0.091,0.0,0.0,0.0,,,,False,0,False,False,False,False,-4.812900000000226
48,2026-03-30 14:00:00,2026-03-30,14,BTCUSDm,buy,0.06,2.25,67495.34,67248.19,,67244.69,SL,sl,247.14999999999418,-1.0141614404207975,29.017,0,,0,0.278,-0.985,67469.3,67481.34,2026-03-30 14:29:01,entry_engine,33,5.0,5,1.0,0,1,True,True,False,1.59,0.057,0.87,0.87,0.0,,,,False,0,False,False,False,False,-15.03899999999965
52,2026-03-31 17:38:43,2026-03-31,17,BTCUSDm,buy,0.19,19.56,67686.11,67144.29,67869.47,67870.93,TP,tp,541.820000000007,0.3411095935919494,38.417,0,,4,0.271,-0.457,67638.96,67672.11,2026-03-31 18:17:08,entry_engine,6,5.0,4,1.0,0,1,True,True,False,1.51,0.026,0.34,0.34,0.0,,,,False,0,False,False,False,False,35.115799999998565
54,2026-04-01 01:20:35,2026-04-01,1,BTCUSDm,sell,0.01,0.32,68019.07,68286.8,,67965.93,SL,be,267.7299999999959,0.1984835468569633,109.117,1,0.200014940425069,24,0.256,-0.533,68055.77,68033.07,2026-04-01 03:09:42,entry_engine,13,4.31,5,1.0,0,1,True,True,False,1.87,0.052,1.86,1.86,0.0,,,be,True,0,False,False,False,False,0.5314000000001398
56,2026-04-01 03:09:57,2026-04-01,3,BTCUSDm,sell,0.04,1.16,68032.36,68273.71,,68274.77,SL,sl,241.35000000000582,-1.0043919618810757,99.2,0,,7,0.29,-0.683,68072.06,68046.36,2026-04-01 04:49:09,entry_engine,34,4.31,5,1.0,0,1,True,True,False,1.66,0.058,0.73,0.73,0.0,,,,False,0,False,False,False,False,-9.69640000000014
59,2026-04-01 13:05:45,2026-04-01,13,BTCUSDm,buy,0.02,0.61,68230.06,67976.61,,68279.8,SL,be,253.4499999999971,0.1962517261787564,35.983,1,0.20000000000001147,45,0.275,-1.289,68178.37,68216.06,2026-04-01 13:41:44,entry_engine,6,5.0,5,1.0,0,0,False,True,False,1.32,0.055,1.68,1.68,0.0,,,be,True,0,False,False,False,False,0.9948000000001048
64,2026-04-01 17:11:13,2026-04-01,17,BTCUSDm,buy,0.25,8.45,68810.82,68550.29,68870.85,68549.35,SL,sl,260.5300000000134,-1.0036080297853902,10.15,0,,5,0.348,-0.933,68782.91,68796.82,2026-04-01 17:21:22,entry_engine,3,4.75,4,1.0,0,1,True,True,False,1.54,0.054,0.02,0.02,0.0,,,,False,0,False,False,False,False,-65.36750000000029
88,2026-04-05 22:11:01,2026-04-05,22,BTCUSDm,buy,0.01,0.37,67576.82,67368.95,,67368.78,SL,sl,207.8700000000099,-1.0008178188290675,10.267,0,,6,0.254,-0.465,67545.54,67562.82,2026-04-05 22:21:17,entry_engine,3,4.25,5,1.0,0,1,True,True,False,1.79,0.067,0.03,0.03,0.0,,,,False,0,False,False,False,False,-2.0804000000000817
92,2026-04-07 12:40:01,2026-04-07,12,BTCUSDm,sell,0.21,7.24,68384.53,68572.3,68302.84,68300.32,TP,tp,187.77000000000407,0.4484741971560421,4.683,0,,1,0.291,-1.354,68414.36,68398.53,2026-04-07 12:44:42,entry_engine,8,5.0,4,1.0,0,1,True,True,False,1.45,0.075,0.4,0.4,0.0,,,,False,0,False,False,False,False,17.68409999999829
94,2026-04-07 13:50:41,2026-04-07,13,BTCUSDm,sell,0.01,0.78,68332.75,68574.96,68251.06,68248.93,TP,tp,242.2100000000064,0.3460633334709746,6.283,0,,0,0.291,-0.403,68362.59,68346.75,2026-04-07 13:56:58,entry_engine,22,5.0,4,1.0,0,1,True,True,False,1.75,0.058,0.34,0.34,0.0,,,,False,0,False,False,False,False,0.8382000000000699
106,2026-04-08 13:45:00,2026-04-08,13,BTCUSDm,buy,0.04,4.35,71690.64,71297.48,71735.87,71735.99,TP,tp,393.1600000000035,0.11534744124530831,1.0,0,,0,0.252,-1.685,71669.05,71676.64,2026-04-08 13:46:00,entry_engine,20,3.89,4,1.0,0,1,True,True,False,1.47,0.036,0.11,0.11,0.0,,,,False,0,False,False,False,False,1.8140000000002328
108,2026-04-08 14:15:00,2026-04-08,14,BTCUSDm,buy,0.03,1.5,71521.24,71259.0,71566.47,71566.59,TP,tp,262.24000000000524,0.17293319097006699,0.217,0,,0,0.281,-7.304,71498.78,71507.24,2026-04-08 14:15:13,entry_engine,26,3.89,4,1.0,0,1,False,True,False,0.9,0.053,0.16,0.16,0.0,,,,False,0,False,False,False,False,1.360499999999738
112,2026-04-09 01:32:45,2026-04-09,1,BTCUSDm,sell,0.01,0.52,70809.14,71053.78,,71056.06,SL,sl,244.63999999999942,-1.009319816873769,54.783,0,,3,0.324,-0.359,70839.34,70823.14,2026-04-09 02:27:32,entry_engine,6,5.0,5,1.0,0,1,True,True,False,1.52,0.057,0.41,0.41,0.0,,,,False,0,False,False,False,False,-2.4691999999999825
113,2026-04-09 02:05:02,2026-04-09,2,BTCUSDm,sell,0.01,0.61,70886.45,71067.04,,71070.0,SL,sl,180.5899999999965,-1.0163907193089676,22.5,0,,2,0.287,-1.906,70914.8,70900.45,2026-04-09 02:27:32,entry_engine,13,5.0,5,1.0,0,1,True,True,False,1.27,0.078,0.39,0.39,0.0,,,,False,0,False,False,False,False,-1.8355000000000292
121,2026-04-11 00:40:46,2026-04-11,0,BTCUSDm,sell,0.01,0.49,72949.62,73086.83,,72783.0,MARKET_CLOSE,decay,137.2100000000064,1.2143429779169708,39.233,1,0.19998542380293746,46,0.257,-0.573,72976.26,72963.62,2026-04-11 01:20:00,entry_engine,9,4.76,5,1.0,0,0,True,True,False,2.35,0.102,1.78,1.78,0.0,0.56,8,be,True,0,False,False,False,False,1.6661999999999535
124,2026-04-11 01:32:26,2026-04-11,1,BTCUSDm,sell,0.06,1.16,72960.85,73067.63,,73069.62,SL,sl,106.77999999999884,-1.0186364487730915,45.717,0,,1,0.333,-0.802,72991.24,72974.85,2026-04-11 02:18:09,entry_engine,19,4.76,5,1.0,0,0,True,True,False,1.43,0.131,0.86,0.86,0.0,,,,False,0,False,False,False,False,-6.526199999999371
125,2026-04-11 02:05:05,2026-04-11,2,BTCUSDm,sell,0.02,0.71,72960.5,73102.83,,73102.86,SL,sl,142.33000000000175,-1.000210777769963,25.067,0,,5,0.35,-0.795,72991.68,72974.5,2026-04-11 02:30:09,entry_engine,26,4.76,5,1.0,0,0,True,True,False,1.78,0.098,0.08,0.08,0.0,,,,False,0,False,False,False,False,-2.8472000000000115
128,2026-04-11 02:50:30,2026-04-11,2,BTCUSDm,sell,0.05,1.01,72968.57,73092.39,,73097.32,SL,sl,123.81999999999243,-1.0398158617348399,21.7,0,,29,0.262,-0.959,72995.47,72982.57,2026-04-11 03:12:12,entry_engine,35,4.76,5,1.0,0,0,True,True,False,1.69,0.113,0.04,0.04,0.0,,,,False,0,False,False,False,False,-6.4375
130,2026-04-12 00:11:01,2026-04-12,0,BTCUSDm,sell,0.04,1.55,73065.76,73224.33,,72280.89,MARKET_CLOSE,dtp,158.57000000000698,4.949675222299053,88.633,1,0.19997477454745824,7,0.284,-0.946,73092.59,73079.76,2026-04-12 01:39:39,entry_engine,3,4.64,5,1.0,0,1,True,True,False,1.62,0.088,6.61,6.61,6.61,1.66,17,be,True,0,False,False,False,False,31.394799999999815
131,2026-04-12 01:15:00,2026-04-12,1,BTCUSDm,sell,0.04,0.82,73090.38,73193.73,,72286.81,MARKET_CLOSE,dtp,103.34999999999127,7.7752298016456205,24.667,1,0.2,0,0.256,-1.491,73115.92,73104.38,2026-04-12 01:39:40,entry_engine,16,4.64,5,1.0,0,1,True,True,False,1.37,0.135,10.38,10.38,10.38,2.61,4,be,True,0,False,False,False,False,32.14280000000028
139,2026-04-13 12:35:29,2026-04-13,12,BTCUSDm,buy,0.84,12.07,70861.3,70730.25,70975.21,70975.71,TP,tp,131.0500000000029,0.8730255627623117,16.55,0,,28,0.271,-1.14,70826.75,70847.3,2026-04-13 12:52:02,entry_engine,7,5.0,4,1.0,0,1,False,True,False,1.5,0.107,0.84,0.84,0.0,,,,False,0,False,False,False,False,96.10440000000293
144,2026-04-13 13:39:21,2026-04-13,13,BTCUSDm,buy,0.08,1.03,70861.38,70701.36,70975.29,70976.71,TP,tp,160.02000000000407,0.7207224096987802,1.033,0,,9,0.282,-1.139,70826.0,70847.38,2026-04-13 13:40:23,entry_engine,19,5.0,4,1.0,0,1,True,True,False,1.12,0.087,0.7,0.7,0.0,,,,False,0,False,False,False,False,9.22640000000014
146,2026-04-13 20:22:29,2026-04-13,20,BTCUSDm,buy,0.37,9.31,73100.21,72791.78,,74154.92,MARKET_CLOSE,dtp,308.43000000000757,3.419608987452472,115.517,1,0.20001296890700082,13,0.315,-0.682,73054.19,73086.21,2026-04-13 22:18:00,entry_engine,8,5.0,5,1.0,0,1,True,True,False,1.47,0.045,4.57,4.57,4.57,1.15,23,be,True,0,False,False,False,False,390.242699999997
152,2026-04-14 13:35:04,2026-04-14,13,BTCUSDm,sell,0.17,0.95,74764.84,74936.11,,74939.42,SL,sl,171.27000000000407,-1.019326210077641,1.983,0,,4,0.25,-1.427,74800.77,74778.84,2026-04-14 13:37:03,entry_engine,3,3.86,5,1.0,0,0,False,True,False,1.31,0.082,0.0,0.0,0.0,,,,False,0,False,False,False,False,-29.678600000000298
154,2026-04-14 15:10:01,2026-04-14,15,BTCUSDm,sell,0.13,1.64,74732.71,75139.49,,75139.57,SL,sl,406.77999999999884,-1.0001966665027822,24.967,0,,1,0.272,-1.061,74770.51,74746.71,2026-04-14 15:34:59,entry_engine,22,3.86,5,1.0,0,0,True,True,False,1.52,0.034,0.24,0.24,0.0,,,,False,0,False,False,False,False,-52.891800000000075
162,2026-04-14 19:02:47,2026-04-14,19,BTCUSDm,sell,0.15,1.89,74268.14,74606.37,,74204.16,SL,be,338.2299999999959,0.18916122165389437,242.567,1,0.20001182627204858,1,0.265,-0.406,74308.06,74282.14,2026-04-14 23:05:21,entry_engine,4,5.0,5,1.0,0,1,True,True,False,1.77,0.041,1.22,1.22,0.0,,,be,True,0,False,False,False,False,9.596999999999388
163,2026-04-14 19:42:02,2026-04-14,19,BTCUSDm,sell,0.33,4.19,74290.23,74656.49,,74217.48,SL,be,366.2600000000093,0.1986293889586582,215.717,1,0.1999945393982366,4,0.269,-0.632,74330.53,74304.23,2026-04-14 23:17:45,entry_engine,12,5.0,5,1.0,0,1,True,True,False,1.68,0.038,1.18,1.18,0.0,,,be,True,0,False,False,False,False,24.0075
165,2026-04-14 20:20:11,2026-04-14,20,BTCUSDm,sell,0.31,2.59,74338.08,74582.19,,74289.87,SL,be,244.11000000000058,0.1974929335136057,44.383,1,0.19999180697229474,7,0.307,-1.122,74382.07,74352.08,2026-04-14 21:04:34,entry_engine,20,5.0,5,1.0,0,1,True,True,False,1.49,0.057,1.13,1.13,0.0,,,be,True,0,False,False,False,False,14.945100000001984
