time,open,high,low,close,tick_volume,spread,real_volume
2024.12.01 16:00,97144.54,97655.71,97053.89,97260.79,33887,1975,0
2024.12.01 20:00,97260.79,97973.44,96871.66,97317.63,39786,2011,0
2024.12.02 00:00,97317.63,98297.53,96406.78,96560.04,50115,2252,0
2024.12.02 04:00,96560.04,97047.93,95797.79,96052.10,53283,3438,0
2024.12.02 08:00,96051.60,96176.06,94855.18,95181.54,56817,3661,0
2024.12.02 12:00,95181.54,97354.84,94815.15,97169.74,64564,2842,0
2024.12.02 16:00,97160.73,97493.15,94423.04,95871.07,67953,2477,0
2024.12.02 20:00,95871.08,96410.66,95133.47,95895.90,50555,2800,0
2024.12.03 00:00,95895.91,96383.55,95469.49,96162.85,52060,3096,0
2024.12.03 04:00,96162.85,96355.31,95319.90,95593.80,46040,2827,0
2024.12.03 08:00,95593.83,95729.38,94648.87,95031.92,42622,3627,0
2024.12.03 12:00,95031.18,96382.37,93573.91,95798.49,71485,1970,0
2024.12.03 16:00,95798.49,96289.71,94947.73,95503.74,61551,2334,0
2024.12.03 20:00,95503.74,96281.59,95344.74,95998.34,49236,2118,0
2024.12.04 00:00,95998.34,96779.56,95319.43,95903.30,50996,2166,0
2024.12.04 04:00,95903.30,96874.77,95834.12,96724.03,41868,1947,0
2024.12.04 08:00,96724.03,97070.30,96286.61,96317.25,44064,1815,0
2024.12.04 12:00,96317.25,96676.61,95418.73,95886.14,61158,2637,0
2024.12.04 16:00,95886.14,97400.03,94685.95,97373.80,63798,1864,0
2024.12.04 20:00,97373.79,99187.80,97285.51,98688.95,65280,1780,0
2024.12.05 00:00,98688.94,104320.47,98008.58,102966.84,91194,1780,0
2024.12.05 04:00,102965.39,103573.74,101351.66,102308.81,65371,1780,0
2024.12.05 08:00,102308.81,103263.99,102289.67,102622.11,56269,1780,0
2024.12.05 12:00,102622.11,103666.08,100976.85,101371.32,70957,1781,0
2024.12.05 16:00,101371.32,102065.73,98566.93,98972.48,72912,2874,0
2024.12.05 20:00,98972.48,99492.18,90796.30,96986.04,90136,2364,0
2024.12.06 00:00,96986.04,98794.21,96406.55,97714.83,67503,2769,0
2024.12.06 04:00,97714.83,98327.68,97354.08,98187.81,45434,3189,0
2024.12.06 08:00,98183.52,98761.39,97699.45,98126.78,51853,2743,0
2024.12.06 12:00,98126.78,99644.01,97549.23,99463.65,70309,2150,0
