ticket,time,date,hour,symbol,dir,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
1718,,,,,,,,,,,109079.87,SL,sl,,,,,,,,,,,2025-09-26 15:55:42,,,,,,,,,True,False,,,1.0,1.0,0.0,,,be,True,0,False,False,False,False,
1724,,,,,,,,,,,109496.72,MARKET_CLOSE,market_close,,,,,,,,,,,2025-09-27 01:32:40,,,,,,,,,True,False,,,0.62,0.62,0.0,,,,False,0,False,False,False,False,
1726,,,,,,,,,,,109701.07,MARKET_CLOSE,market_close,,,,,,,,,,,2025-09-27 03:45:00,,,,,,,,,True,False,,,2.78,2.78,0.0,,,be,True,0,False,False,False,False,
1728,,,,,,,,,,,109409.85,MARKET_CLOSE,market_close,,,,,,,,,,,2025-09-27 17:10:00,,,,,,,,,True,False,,,1.8,1.8,0.0,,,be,True,0,False,False,False,False,
1730,,,,,,,,,,,109469.64,MARKET_CLOSE,market_close,,,,,,,,,,,2025-09-27 19:35:00,,,,,,,,,True,False,,,0.43,0.43,0.0,,,,False,0,False,False,False,False,
1732,,,,,,,,,,,109384.91,SL,sl,,,,,,,,,,,2025-09-28 01:49:14,,,,,,,,,True,False,,,0.44,0.44,0.0,,,,False,0,False,False,False,False,
1733,,,,,,,,,,,109429.06,MARKET_CLOSE,market_close,,,,,,,,,,,2025-09-28 01:55:00,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
1735,,,,,,,,,,,109433.33,SL,sl,,,,,,,,,,,2025-09-28 04:26:40,,,,,,,,,True,False,,,1.31,1.31,0.0,,,be,True,0,False,False,False,False,
1738,,,,,,,,,,,109411.67,MARKET_CLOSE,market_close,,,,,,,,,,,2025-09-28 11:00:02,,,,,,,,,True,False,,,0.05,0.05,0.0,,,,False,0,False,False,False,False,
1740,,,,,,,,,,,110326.18,SL,sl,,,,,,,,,,,2025-09-28 17:36:40,,,,,,,,,True,False,,,1.02,1.02,0.0,,,be,True,0,False,False,False,False,
1742,,,,,,,,,,,110336.95,SL,sl,,,,,,,,,,,2025-09-28 19:00:31,,,,,,,,,True,False,,,1.56,1.56,0.0,,,be,True,0,False,False,False,False,
1744,,,,,,,,,,,110458.62,SL,sl,,,,,,,,,,,2025-09-28 20:12:30,,,,,,,,,True,False,,,0.35,0.35,0.0,,,,False,0,False,False,False,False,
1745,,,,,,,,,,,110404.5,MARKET_CLOSE,market_close,,,,,,,,,,,2025-09-28 20:00:41,,,,,,,,,True,False,,,0.59,0.59,0.0,,,,False,0,False,False,False,False,
1748,,,,,,,,,,,111835.7,MARKET_CLOSE,market_close,,,,,,,,,,,2025-09-29 06:19:20,,,,,,,,,True,False,,,0.59,0.59,0.0,,,,False,0,False,False,False,False,
1750,,,,,,,,,,,111800.09,SL,sl,,,,,,,,,,,2025-09-29 06:50:40,,,,,,,,,True,False,,,1.24,1.24,0.0,,,be,True,0,False,False,False,False,
1752,,,,,,,,,,,111956.45,SL,sl,,,,,,,,,,,2025-09-29 08:00:31,,,,,,,,,True,False,,,0.41,0.41,0.0,,,,False,0,False,False,False,False,
1754,,,,,,,,,,,113543.2,SL,sl,,,,,,,,,,,2025-09-29 17:02:42,,,,,,,,,True,False,,,0.3,0.3,0.0,,,,False,0,False,False,False,False,
1756,,,,,,,,,,,113148.23,MARKET_CLOSE,market_close,,,,,,,,,,,2025-09-30 12:06:38,,,,,,,,,True,False,,,0.62,0.62,0.0,,,,False,0,False,False,False,False,
1758,,,,,,,,,,,113267.88,SL,sl,,,,,,,,,,,2025-09-30 12:38:29,,,,,,,,,True,False,,,0.17,0.17,0.0,,,,False,0,False,False,False,False,
1760,,,,,,,,,,,113477.61,MARKET_CLOSE,market_close,,,,,,,,,,,2025-09-30 18:45:00,,,,,,,,,True,False,,,2.61,2.61,0.0,,,be,True,0,False,False,False,False,
1761,,,,,,,,,,,113354.62,MARKET_CLOSE,market_close,,,,,,,,,,,2025-09-30 17:38:12,,,,,,,,,True,False,,,0.69,0.69,0.0,,,,False,0,False,False,False,False,
1763,,,,,,,,,,,113362.79,MARKET_CLOSE,market_close,,,,,,,,,,,2025-09-30 18:06:40,,,,,,,,,True,False,,,0.77,0.77,0.0,,,,False,0,False,False,False,False,
1766,,,,,,,,,,,113927.56,MARKET_CLOSE,market_close,,,,,,,,,,,2025-09-30 22:57:40,,,,,,,,,True,False,,,0.54,0.54,0.0,,,,False,0,False,False,False,False,
1768,,,,,,,,,,,114435.78,MARKET_CLOSE,market_close,,,,,,,,,,,2025-10-01 01:40:17,,,,,,,,,True,False,,,0.87,0.87,0.0,,,,False,0,False,False,False,False,
1770,,,,,,,,,,,114571.6,MARKET_CLOSE,market_close,,,,,,,,,,,2025-10-01 02:04:41,,,,,,,,,True,False,,,0.67,0.67,0.0,,,,False,0,False,False,False,False,
1772,,,,,,,,,,,114347.65,SL,sl,,,,,,,,,,,2025-10-01 03:43:30,,,,,,,,,True,False,,,1.68,1.68,0.0,,,be,True,0,False,False,False,False,
1774,,,,,,,,,,,114388.14,SL,sl,,,,,,,,,,,2025-10-01 04:53:38,,,,,,,,,True,False,,,1.78,1.78,0.0,,,be,True,0,False,False,False,False,
1775,,,,,,,,,,,114603.92,SL,sl,,,,,,,,,,,2025-10-01 04:29:27,,,,,,,,,True,False,,,0.32,0.32,0.0,,,,False,0,False,False,False,False,
1776,,,,,,,,,,,114541.54,MARKET_CLOSE,market_close,,,,,,,,,,,2025-10-01 04:29:04,,,,,,,,,True,False,,,0.56,0.56,0.0,,,,False,0,False,False,False,False,
1780,,,,,,,,,,,116715.91,SL,sl,,,,,,,,,,,2025-10-01 13:21:38,,,,,,,,,True,False,,,0.29,0.29,0.0,,,,False,0,False,False,False,False,
1781,,,,,,,,,,,116543.28,SL,sl,,,,,,,,,,,2025-10-01 13:40:38,,,,,,,,,True,False,,,1.33,1.33,0.0,,,be,True,0,False,False,False,False,
1784,,,,,,,,,,,118745.32,MARKET_CLOSE,market_close,,,,,,,,,,,2025-10-02 06:59:38,,,,,,,,,True,False,,,0.91,0.91,0.0,,,,False,0,False,False,False,False,
1786,,,,,,,,,,,118768.92,MARKET_CLOSE,market_close,,,,,,,,,,,2025-10-02 08:50:00,,,,,,,,,True,False,,,0.05,0.05,0.0,,,,False,0,False,False,False,False,
1788,,,,,,,,,,,120224.69,MARKET_CLOSE,market_close,,,,,,,,,,,2025-10-02 18:40:00,,,,,,,,,True,False,,,1.67,1.67,0.0,,,be,True,0,False,False,False,False,
1789,,,,,,,,,,,119623.39,MARKET_CLOSE,market_close,,,,,,,,,,,2025-10-02 17:47:15,,,,,,,,,True,False,,,0.56,0.56,0.0,,,,False,0,False,False,False,False,
1792,,,,,,,,,,,120535.41,SL,sl,,,,,,,,,,,2025-10-02 21:27:15,,,,,,,,,True,False,,,1.74,1.74,0.0,,,be,True,0,False,False,False,False,
1794,,,,,,,,,,,120627.9,MARKET_CLOSE,market_close,,,,,,,,,,,2025-10-02 23:20:00,,,,,,,,,True,False,,,0.04,0.04,0.0,,,,False,0,False,False,False,False,
1795,,,,,,,,,,,120599.1,SL,sl,,,,,,,,,,,2025-10-02 23:24:29,,,,,,,,,True,False,,,1.08,1.08,0.0,,,be,True,0,False,False,False,False,
1798,,,,,,,,,,,120412.61,MARKET_CLOSE,market_close,,,,,,,,,,,2025-10-03 03:35:27,,,,,,,,,True,False,,,0.76,0.76,0.0,,,,False,0,False,False,False,False,
