ticket,time,date,hour,symbol,dir,comment,signal_type,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,touch_count,entry_count,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
76,2025-01-03 15:22:14,2025-01-03,15,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.3,ob,0.04,,96789.74,96391.0,,97381.08,MARKET_CLOSE,market_close,398.74000000000524,1.483021517780982,26.433,0,,104,0.251,-1.087,96703.69,96760.94,,,2025-01-03 15:48:40,,,,,,,,,,,,,,,,,,,,,,,,,23.653599999999862
78,2025-01-06 23:09:18,2025-01-06,23,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x1.1,ob,0.37,,102172.78,102378.15,,102194.35,MARKET_CLOSE,market_close,205.36999999999534,-0.1050299459512464,34.033,0,,49,0.264,-1.297,102224.93,102201.58,,,2025-01-06 23:43:20,,,,,,,,,,,,,,,,,,,,,,,,,-7.980900000002585
80,2025-02-04 16:14:02,2025-02-04,16,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.2,ob,0.01,,99760.22,100659.13,,99195.27,MARKET_CLOSE,market_close,898.9100000000035,0.6284833854334637,95.967,0,,20,0.254,-0.483,99840.65,99789.21,,,2025-02-04 17:50:00,,,,,,,,,,,,,,,,,,,,,,,,,5.649499999999971
81,2025-02-04 16:33:29,2025-02-04,16,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.2,ob,0.01,,99757.21,100470.06,,99544.93,SL,sl,712.8499999999913,0.2977905590236599,42.15,0,,15,0.253,-0.468,99837.54,99786.2,,,2025-02-04 17:15:38,,,,,,,,,,,,,,,,,,,,,,,,,2.122800000000134
84,2025-02-12 16:05:13,2025-02-12,16,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x1.3,ob,0.21,,95722.22,96153.41,93997.44,95593.43,SL,sl,431.1900000000023,0.2986850344395915,27.233,0,,13,0.254,-1.482,95802.13,95751.21,,,2025-02-12 16:32:27,,,,,,,,,,,,,,,,,,,,,,,,,27.045900000001712
86,2025-03-13 10:30:00,2025-03-13,10,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.1,ob,0.02,,83298.87,83574.75,80631.47,83326.91,MARKET_CLOSE,market_close,275.88000000000466,-0.10163839350445003,23.233,0,,20,0.251,-0.546,83335.92,83322.03,,,2025-03-13 10:53:14,,,,,,,,,,,,,,,,,,,,,,,,,-0.560800000000163
88,2025-03-14 00:35:15,2025-03-14,0,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.1,ob,0.01,,81425.22,81137.06,83948.7,81396.23,MARKET_CLOSE,market_close,288.1600000000035,-0.10060383120490314,29.25,0,,15,0.254,-0.451,81385.45,81402.06,,,2025-03-14 01:04:30,,,,,,,,,,,,,,,,,,,,,,,,,-0.2899000000000524
90,2025-03-14 01:05:01,2025-03-14,1,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.3,ob,0.08,,81410.69,81130.78,83948.7,81663.14,SL,sl,279.9100000000035,0.9018970383337285,50.6,0,,24,0.27,-0.673,81369.84,81387.53,,,2025-03-14 01:55:37,,,,,,,,,,,,,,,,,,,,,,,,,20.195999999999767
91,2025-03-14 01:16:29,2025-03-14,1,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.1,ob,0.03,,81418.73,81099.46,83948.7,82385.78,MARKET_CLOSE,market_close,319.2699999999895,3.028941021705875,388.517,0,,48,0.254,-0.55,81378.93,81395.57,,,2025-03-14 07:45:00,,,,,,,,,,,,,,,,,,,,,,,,,29.011500000000087
94,2025-04-01 13:50:38,2025-04-01,13,BTCUSDm,sell,WT V11-BTC1-LOOP159 S BOS x73.2,ob,0.39,,83721.05,84295.02,,82876.94,MARKET_CLOSE,market_close,573.9700000000012,1.4706517762252362,32.433,0,,38,0.25,-0.89,83863.59,83750.01,,,2025-04-01 14:23:04,,,,,,,,,,,,,,,,,,,,,,,,,329.2029000000002
95,2025-04-01 14:10:42,2025-04-01,14,BTCUSDm,sell,WT V11-BTC1-LOOP159 S BOS x73.2,ob,0.6,,82783.61,83242.78,,82829.63,MARKET_CLOSE,market_close,459.16999999999825,-0.10022431779080569,11.967,0,,,,,,,,,2025-04-01 14:22:40,,,,,,,,,,,,,,,,,,,,,,,,True,-27.612000000002443
98,2025-05-01 04:55:58,2025-05-01,4,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.2,ob,0.11,,94899.72,95109.43,,95109.67,SL,sl,209.70999999999185,-1.001144437556651,48.367,0,,33,0.25,-0.998,94943.24,94928.52,,,2025-05-01 05:44:20,,,,,,,,,,,,,,,,,,,,,,,,,-23.09449999999968
100,2025-05-06 01:39:01,2025-05-06,1,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.3,ob,0.18,,94543.52,94357.79,95818.98,94357.45,SL,sl,185.73000000001048,-1.0018306143326146,7.0,0,,23,0.254,-1.222,94499.27,94514.54,,,2025-05-06 01:46:01,,,,,,,,,,,,,,,,,,,,,,,,,-33.492600000001254
102,2025-05-06 04:05:58,2025-05-06,4,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.2,ob,0.11,,94373.02,94537.1,93570.51,94537.59,SL,sl,164.08000000000175,-1.00298634812281,15.483,0,,58,0.251,-1.054,94427.14,94402.0,,,2025-05-06 04:21:27,,,,,,,,,,,,,,,,,,,,,,,,,-18.102699999999167
103,2025-05-06 04:16:04,2025-05-06,4,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.2,ob,0.12,,94369.88,94525.31,93570.51,94525.46,SL,sl,155.42999999999302,-1.0009650646593884,5.333,0,,64,0.258,-1.023,94424.67,94398.86,,,2025-05-06 04:21:24,,,,,,,,,,,,,,,,,,,,,,,,,-18.66960000000021
106,2025-05-06 17:10:26,2025-05-06,17,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.2,ob,0.04,,94465.26,94124.29,94839.21,94839.61,TP,tp,340.97000000000116,1.0978971757046208,25.05,0,,26,0.255,-0.754,94405.75,94436.28,,,2025-05-06 17:35:29,,,,,,,,,,,,,,,,,,,,,,,,,14.974000000000233
108,2025-05-20 10:25:02,2025-05-20,10,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.1,ob,0.04,,105302.24,105465.69,103667.77,105155.31,SL,sl,163.4499999999971,0.8989293361884991,62.6,0,,33,0.25,-0.861,105354.37,105331.04,,,2025-05-20 11:27:38,,,,,,,,,,,,,,,,,,,,,,,,,5.877200000000303
110,2025-05-20 11:34:00,2025-05-20,11,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.2,ob,0.07,,105261.0,105498.15,102889.48,105048.32,SL,sl,237.14999999999418,0.8968163609529759,235.45,0,,19,0.303,-0.419,105318.02,105289.8,,,2025-05-20 15:29:27,,,,,,,,,,,,,,,,,,,,,,,,,14.887599999999512
111,2025-05-20 11:40:24,2025-05-20,11,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.2,ob,0.09,,105292.1,105509.25,103120.6,104640.57,MARKET_CLOSE,market_close,217.14999999999418,3.000368408933992,223.817,0,,24,0.251,-0.753,105344.34,105320.9,,,2025-05-20 15:24:13,,,,,,,,,,,,,,,,,,,,,,,,,58.637699999999896
112,2025-05-20 11:45:15,2025-05-20,11,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.2,ob,0.1,,105300.29,105507.11,103232.1,104678.44,MARKET_CLOSE,market_close,206.82000000000698,3.006720820036603,167.433,0,,15,0.254,-0.841,105352.73,105329.09,,,2025-05-20 14:32:41,,,,,,,,,,,,,,,,,,,,,,,,,62.18499999999913
116,2025-06-01 02:41:15,2025-06-01,2,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.1,ob,0.06,,104224.62,104481.21,103047.89,104250.57,MARKET_CLOSE,market_close,256.59000000001106,-0.10113410499244134,56.433,0,,35,0.252,-0.481,104273.33,104253.62,,,2025-06-01 03:37:41,,,,,,,,,,,,,,,,,,,,,,,,,-1.5570000000006985
117,2025-06-01 02:50:13,2025-06-01,2,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x1.0,ob,0.51,,104265.87,104477.32,103047.89,104266.24,SL,sl,211.45000000001164,-0.0017498226531561833,48.267,0,,13,0.253,-1.008,104314.67,104294.87,,,2025-06-01 03:38:29,,,,,,,,,,,,,,,,,,,,,,,,,-0.1887000000050466
120,2025-06-01 03:38:48,2025-06-01,3,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.6,ob,0.34,,104249.08,104452.09,103047.89,104452.58,SL,sl,203.00999999999476,-1.002413674203267,9.683,0,,19,0.253,-0.793,104297.9,104278.08,,,2025-06-01 03:48:29,,,,,,,,,,,,,,,,,,,,,,,,,-69.19000000000001
121,2025-06-01 03:41:57,2025-06-01,3,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.2,ob,0.13,,104258.74,104443.67,103047.89,104444.42,SL,sl,184.92999999999302,-1.0040555886010925,6.5,0,,91,0.251,-0.917,104307.36,104287.74,,,2025-06-01 03:48:27,,,,,,,,,,,,,,,,,,,,,,,,,-24.13839999999909
124,2025-06-02 21:32:57,2025-06-02,21,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.6,ob,0.24,,104823.21,104563.05,106019.47,106019.6,TP,tp,260.1600000000035,4.598670049200428,157.55,0,,29,0.252,-0.879,104773.05,104794.21,,,2025-06-03 00:10:30,,,,,,,,,,,,,,,,,,,,,,,,,287.13359999999983
125,2025-06-02 21:43:01,2025-06-02,21,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.5,ob,0.24,,104817.98,104593.9,106019.47,106019.6,TP,tp,224.08000000000175,5.362459835772941,147.483,0,,82,0.26,-0.941,104767.1,104788.98,,,2025-06-03 00:10:30,,,,,,,,,,,,,,,,,,,,,,,,,288.3888000000024
