ticket,time,date,hour,symbol,dir,comment,signal_type,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,touch_count,entry_count,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
54,2025-01-03 15:22:14,2025-01-03,15,BTCUSDm,buy,WT V11-BTC1-TREND96 B x0.7,ob,0.08,,96789.74,96322.91,,97829.09,MARKET_CLOSE,market_close,466.83000000000175,2.2263993316624626,73.4,0,,104,0.251,-1.087,96703.69,96760.94,,,2025-01-03 16:35:38,,,,,,,,,,,,,,,,,,,,,,,,,83.1479999999993
56,2025-01-05 14:40:57,2025-01-05,14,BTCUSDm,buy,WT V11-BTC1-TREND96 B x0.1,ob,0.07,,97542.95,97363.71,98000.55,97834.62,MARKET_CLOSE,market_close,179.2399999999907,1.627259540281262,16.717,0,,57,0.257,-1.438,97493.37,97513.96,,,2025-01-05 14:57:40,,,,,,,,,,,,,,,,,,,,,,,,,20.41689999999988
58,2025-01-06 23:09:18,2025-01-06,23,BTCUSDm,sell,WT V11-BTC1-TREND96 S x2.8,ob,0.39,,102172.78,102378.15,,102194.35,MARKET_CLOSE,market_close,205.36999999999534,-0.1050299459512464,34.033,0,,49,0.264,-1.297,102224.93,102201.58,,,2025-01-06 23:43:20,,,,,,,,,,,,,,,,,,,,,,,,,-8.412300000002725
60,2025-01-09 19:26:04,2025-01-09,19,BTCUSDm,buy,WT V11-BTC1-TREND96 B x0.3,ob,0.04,,92784.15,92186.03,98765.39,92185.24,SL,sl,598.1199999999953,-1.0013208051895834,23.317,0,,23,0.257,-0.496,92731.17,92755.17,,,2025-01-09 19:49:23,,,,,,,,,,,,,,,,,,,,,,,,,-23.956399999999558
62,2025-01-10 15:42:01,2025-01-10,15,BTCUSDm,sell,WT V11-BTC1-TREND96 S x1.5,ob,0.22,,94298.1,94874.94,91120.14,94358.6,MARKET_CLOSE,market_close,576.8399999999965,-0.10488176964149568,5.5,0,,94,0.252,-1.935,94388.68,94327.08,,,2025-01-10 15:47:31,,,,,,,,,,,,,,,,,,,,,,,,,-13.31
64,2025-01-16 16:00:20,2025-01-16,16,BTCUSDm,sell,WT V11-BTC1-TREND96 S x0.6,ob,0.08,,99292.08,99771.95,,99772.71,SL,sl,479.86999999999534,-1.0015837622689672,6.7,0,,111,0.255,-2.131,99366.41,99320.88,,,2025-01-16 16:07:02,,,,,,,,,,,,,,,,,,,,,,,,,-38.45040000000037
66,2025-01-18 07:15:03,2025-01-18,7,BTCUSDm,buy,WT V11-BTC1-TREND96 B x0.9,ob,0.08,,103036.48,102660.61,103599.23,102658.91,SL,sl,375.86999999999534,-1.004522840343728,22.65,0,,36,0.261,-0.888,102971.28,103007.68,,,2025-01-18 07:37:42,,,,,,,,,,,,,,,,,,,,,,,,,-30.205599999999396
68,2025-01-18 08:35:20,2025-01-18,8,BTCUSDm,buy,WT V11-BTC1-TREND96 B x0.9,ob,0.08,,103020.97,102615.0,103599.23,102979.88,MARKET_CLOSE,market_close,405.97000000000116,-0.10121437544645266,96.283,0,,20,0.263,-0.999,102955.5,102992.17,,,2025-01-18 10:11:37,,,,,,,,,,,,,,,,,,,,,,,,,-3.2871999999997206
70,2025-01-18 11:31:28,2025-01-18,11,BTCUSDm,buy,WT V11-BTC1-TREND96 B x0.7,ob,0.08,,103257.78,102935.23,,103767.56,MARKET_CLOSE,market_close,322.5500000000029,1.5804681444737072,54.0,0,,51,0.252,-0.62,103197.17,103228.98,,,2025-01-18 12:25:28,,,,,,,,,,,,,,,,,,,,,,,,,40.78239999999991
72,2025-01-18 13:07:35,2025-01-18,13,BTCUSDm,buy,WT V11-BTC1-TREND96 B x3.9,ob,0.39,,103263.76,102932.65,105888.63,104309.29,MARKET_CLOSE,market_close,331.1100000000006,3.1576515357433994,187.417,0,,59,0.252,-0.573,103203.23,103234.96,,,2025-01-18 16:15:00,,,,,,,,,,,,,,,,,,,,,,,,,407.75669999999957
